Date,Team1,Score1,Wkt1,Team2,Score2,Wkt2,Toss Winner,Toss Decision,Winner
2012-10-01,New Zealand,129,10,West Indies,129,7,New Zealand,field,NaN
2012-10-02,Australia,144,6,Pakistan,144,7,Australia,field,Pakistan
2012-10-02,India,141,6,South Africa,141,10,South Africa,field,India
2012-10-04,Sri Lanka,131,4,Pakistan,131,7,Sri Lanka,bat,Sri Lanka
2012-10-05,Australia,186,4,West Indies,186,10,West Indies,bat,West Indies
2012-10-07,Sri Lanka,132,6,West Indies,132,10,West Indies,bat,West Indies
2012-10-30,Sri Lanka,67,7,New Zealand,67,0,Sri Lanka,field,NaN
2012-12-10,Bangladesh,189,4,West Indies,189,1,West Indies,bat,West Indies
2012-12-20,India,154,6,England,154,5,India,field,India
2012-12-21,South Africa,83,10,New Zealand,83,2,New Zealand,bat,South Africa
2012-12-22,India,160,8,England,160,4,England,field,England
2012-12-23,South Africa,161,5,New Zealand,161,2,New Zealand,field,New Zealand
2012-12-25,India,128,9,Pakistan,128,5,Pakistan,field,Pakistan
2012-12-26,South Africa,169,6,New Zealand,169,9,South Africa,bat,South Africa
2012-12-28,India,186,5,Pakistan,186,7,Pakistan,field,India
2013-01-26,Australia,133,3,Sri Lanka,133,5,Australia,bat,Sri Lanka
2013-01-28,Australia,147,4,Sri Lanka,147,3,Australia,field,Sri Lanka
2013-02-09,New Zealand,207,7,England,207,9,New Zealand,field,England
2013-02-12,New Zealand,182,6,England,182,10,England,field,New Zealand
2013-02-13,Australia,185,6,West Indies,185,8,West Indies,bat,West Indies
2013-02-15,New Zealand,134,8,England,134,0,England,field,England
2013-03-02,West Indies,122,8,Zimbabwe,122,2,Zimbabwe,bat,West Indies
2013-03-03,South Africa,184,7,Pakistan,184,10,Pakistan,bat,Pakistan
2013-03-03,West Indies,147,7,Zimbabwe,147,6,West Indies,bat,West Indies
2013-03-03,Afghanistan,129,7,Scotland,129,6,Afghanistan,bat,Afghanistan
2013-03-04,Afghanistan,122,7,Scotland,122,3,Scotland,bat,Afghanistan
2013-03-15,Canada,119,9,Kenya,119,5,Kenya,bat,Canada
2013-03-16,Canada,125,7,Kenya,125,10,Kenya,bat,Kenya
2013-03-31,Sri Lanka,172,5,Bangladesh,172,7,Bangladesh,field,Sri Lanka
2013-04-19,Kenya,167,5,Netherlands,167,5,Netherlands,bat,Kenya
2013-04-20,Kenya,108,10,Netherlands,108,3,Kenya,field,Kenya
2013-05-11,Zimbabwe,157,5,Bangladesh,157,8,Zimbabwe,bat,Zimbabwe
2013-05-12,Zimbabwe,153,7,Bangladesh,153,9,Bangladesh,bat,Bangladesh
2013-06-25,England,184,4,New Zealand,184,5,England,field,New Zealand
2013-06-27,England,2,1,New Zealand,2,0,New Zealand,field,NaN
2013-07-27,West Indies,141,7,Pakistan,141,8,West Indies,bat,Pakistan
2013-07-28,West Indies,126,7,Pakistan,126,9,Pakistan,bat,Pakistan
2013-08-02,Sri Lanka,108,6,South Africa,108,9,South Africa,bat,South Africa
2013-08-04,Sri Lanka,136,6,South Africa,136,7,South Africa,bat,South Africa
2013-08-06,Sri Lanka,153,3,South Africa,153,4,South Africa,bat,Sri Lanka
2013-08-23,Zimbabwe,148,5,Pakistan,148,5,Zimbabwe,field,Pakistan
2013-08-24,Zimbabwe,175,1,Pakistan,175,6,Zimbabwe,field,Pakistan
2013-08-29,England,244,6,Australia,244,6,England,field,Australia
2013-08-31,England,189,5,Australia,189,9,Australia,field,England
2013-09-30,Afghanistan,159,6,Kenya,159,10,Afghanistan,bat,Afghanistan
2013-10-10,India,195,7,Australia,195,4,India,field,India
2013-10-11,Afghanistan,137,4,Kenya,137,8,Kenya,bat,Kenya
2013-11-06,Bangladesh,195,5,New Zealand,195,9,New Zealand,bat,New Zealand
2013-11-13,Pakistan,92,9,South Africa,92,1,Pakistan,bat,South Africa
2013-11-15,Afghanistan,76,10,Netherlands,76,3,Afghanistan,bat,Netherlands
2013-11-15,Pakistan,145,5,South Africa,145,9,South Africa,bat,South Africa
2013-11-16,Afghanistan,163,6,Scotland,163,6,Afghanistan,bat,Afghanistan
2013-11-16,Canada,156,5,Ireland,156,3,Canada,field,Ireland
2013-11-19,Kenya,176,7,Scotland,176,10,Kenya,bat,Kenya
2013-11-20,South Africa,144,7,Pakistan,144,2,Pakistan,field,South Africa
2013-11-21,Sri Lanka,140,7,New Zealand,140,2,Sri Lanka,field,Sri Lanka
2013-11-22,South Africa,168,4,Pakistan,168,4,Pakistan,bat,Pakistan
2013-11-22,Netherlands,160,4,Scotland,160,6,Netherlands,field,Scotland
2013-11-23,Kenya,118,7,Netherlands,118,9,Netherlands,bat,Netherlands
2013-11-24,Afghanistan,140,9,Kenya,140,10,Afghanistan,bat,Afghanistan
2013-11-26,Canada,136,7,Kenya,136,10,Kenya,bat,Kenya
2013-11-28,Netherlands,137,6,Scotland,137,2,Scotland,bat,Netherlands
2013-11-30,Afghanistan,208,7,Ireland,208,10,Ireland,bat,Ireland
2013-12-08,Afghanistan,122,8,Pakistan,122,4,Afghanistan,bat,Pakistan
2013-12-11,Pakistan,140,5,Sri Lanka,140,7,Pakistan,field,Pakistan
2013-12-13,Pakistan,197,3,Sri Lanka,197,10,Pakistan,field,Sri Lanka
2014-01-11,New Zealand,182,5,West Indies,182,8,New Zealand,bat,New Zealand
2014-01-15,New Zealand,153,5,West Indies,153,6,West Indies,bat,New Zealand
2014-01-29,Australia,200,4,England,200,9,Australia,bat,Australia
2014-01-31,Australia,122,9,England,122,2,England,bat,Australia
2014-02-02,Australia,189,6,England,189,10,Australia,bat,Australia
2014-02-12,Bangladesh,158,7,Sri Lanka,158,7,Bangladesh,field,Sri Lanka
2014-02-14,Bangladesh,113,10,Sri Lanka,113,7,Bangladesh,bat,Sri Lanka
2014-02-19,West Indies,107,8,Ireland,107,4,West Indies,bat,Ireland
2014-02-21,West Indies,94,9,Ireland,94,8,Ireland,field,West Indies
2014-03-09,West Indies,166,3,England,166,9,West Indies,bat,West Indies
2014-03-11,West Indies,147,7,England,147,5,England,bat,West Indies
2014-03-12,South Africa,72,1,Australia,72,5,Australia,field,Australia
2014-03-13,West Indies,158,6,England,158,7,England,bat,England
2014-03-14,South Africa,121,7,Australia,121,4,Australia,field,Australia
2014-03-16,Hong Kong,139,8,Nepal,139,10,Hong Kong,field,Nepal
2014-03-16,Bangladesh,60,10,Afghanistan,60,1,Bangladesh,field,Bangladesh
2014-03-17,Netherlands,133,10,United Arab Emirates,133,4,United Arab Emirates,bat,Netherlands
2014-03-17,Ireland,157,5,Zimbabwe,157,7,Ireland,field,Ireland
2014-03-18,Bangladesh,114,5,Nepal,114,2,Bangladesh,field,Bangladesh
2014-03-18,Afghanistan,137,8,Hong Kong,137,3,Hong Kong,bat,Afghanistan
2014-03-19,Netherlands,129,5,Zimbabwe,129,5,Netherlands,bat,Zimbabwe
2014-03-19,Ireland,110,6,United Arab Emirates,110,4,Ireland,field,Ireland
2014-03-20,Afghanistan,130,5,Nepal,130,8,Afghanistan,field,Nepal
2014-03-20,Bangladesh,102,10,Hong Kong,102,8,Hong Kong,field,Hong Kong
2014-03-21,United Arab Emirates,111,9,Zimbabwe,111,5,Zimbabwe,field,Zimbabwe
2014-03-21,Ireland,181,4,Netherlands,181,4,Netherlands,field,Netherlands
2014-03-21,India,125,7,Pakistan,125,3,India,field,India
2014-03-22,England,162,6,New Zealand,162,1,New Zealand,field,New Zealand
2014-03-22,South Africa,155,7,Sri Lanka,155,8,Sri Lanka,bat,Sri Lanka
2014-03-23,Australia,174,5,Pakistan,174,10,Australia,field,Pakistan
2014-03-23,India,115,7,West Indies,115,3,India,field,India
2014-03-24,Netherlands,33,10,Sri Lanka,33,1,Sri Lanka,field,Sri Lanka
2014-03-24,New Zealand,169,6,South Africa,169,8,New Zealand,field,South Africa
2014-03-25,Bangladesh,152,7,West Indies,152,10,Bangladesh,field,West Indies
2014-03-27,Netherlands,140,9,South Africa,140,10,Netherlands,field,South Africa
2014-03-27,England,181,4,Sri Lanka,181,4,England,field,England
2014-03-28,Australia,163,8,West Indies,163,4,Australia,bat,West Indies
2014-03-28,Bangladesh,130,7,India,130,2,India,field,India
2014-03-29,Netherlands,136,4,New Zealand,136,4,New Zealand,field,New Zealand
2014-03-29,England,181,5,South Africa,181,7,England,field,South Africa
2014-03-30,Australia,142,7,India,142,10,Australia,field,India
